tournament_name,category,tournament_date,player_1,player_2,player_1_seed,player_2_seed,player_1_nationality,player_2_nationality,round,match,game,player_1_score,player_2_score,game_winner
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Mohamed Elshorbagy,1,2,EGY,EGY,F,62,1,7,11,Mohamed Elshorbagy
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Mohamed Elshorbagy,1,2,EGY,EGY,F,62,2,12,10,Ali Farag
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Mohamed Elshorbagy,1,2,EGY,EGY,F,62,3,11,9,Ali Farag
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Mohamed Elshorbagy,1,2,EGY,EGY,F,62,4,11,4,Ali Farag
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Tarek Momen,1,3,EGY,EGY,SF,61,1,10,12,Tarek Momen
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Tarek Momen,1,3,EGY,EGY,SF,61,2,11,5,Ali Farag
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Tarek Momen,1,3,EGY,EGY,SF,61,3,12,10,Ali Farag
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Tarek Momen,1,3,EGY,EGY,SF,61,4,5,11,Tarek Momen
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Tarek Momen,1,3,EGY,EGY,SF,61,5,11,8,Ali Farag
2020-2021 PSA World Championship,Men's,2021-07-22,Mohamed Elshorbagy,Paul Coll,2,4,EGY,NZL,SF,60,1,11,5,Mohamed Elshorbagy
2020-2021 PSA World Championship,Men's,2021-07-22,Mohamed Elshorbagy,Paul Coll,2,4,EGY,NZL,SF,60,2,11,3,Mohamed Elshorbagy
2020-2021 PSA World Championship,Men's,2021-07-22,Mohamed Elshorbagy,Paul Coll,2,4,EGY,NZL,SF,60,3,4,11,Paul Coll
2020-2021 PSA World Championship,Men's,2021-07-22,Mohamed Elshorbagy,Paul Coll,2,4,EGY,NZL,SF,60,4,11,8,Mohamed Elshorbagy
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Diego Elias,1,8,EGY,PER,QF,59,1,7,11,Diego Elias
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Diego Elias,1,8,EGY,PER,QF,59,2,11,7,Ali Farag
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Diego Elias,1,8,EGY,PER,QF,59,3,11,9,Ali Farag
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Diego Elias,1,8,EGY,PER,QF,59,4,11,4,Ali Farag
2020-2021 PSA World Championship,Men's,2021-07-22,Tarek Momen,Marwan Elshorbagy,3,5,EGY,EGY,QF,58,1,4,11,Marwan Elshorbagy
2020-2021 PSA World Championship,Men's,2021-07-22,Tarek Momen,Marwan Elshorbagy,3,5,EGY,EGY,QF,58,2,11,8,Tarek Momen
2020-2021 PSA World Championship,Men's,2021-07-22,Tarek Momen,Marwan Elshorbagy,3,5,EGY,EGY,QF,58,3,11,5,Tarek Momen
2020-2021 PSA World Championship,Men's,2021-07-22,Tarek Momen,Marwan Elshorbagy,3,5,EGY,EGY,QF,58,4,13,11,Tarek Momen
2020-2021 PSA World Championship,Men's,2021-07-22,Paul Coll,Karim Abdel Gawad,4,6,NZL,EGY,QF,57,1,7,11,Karim Abdel Gawad
2020-2021 PSA World Championship,Men's,2021-07-22,Paul Coll,Karim Abdel Gawad,4,6,NZL,EGY,QF,57,2,8,11,Karim Abdel Gawad
2020-2021 PSA World Championship,Men's,2021-07-22,Paul Coll,Karim Abdel Gawad,4,6,NZL,EGY,QF,57,3,11,9,Paul Coll
2020-2021 PSA World Championship,Men's,2021-07-22,Paul Coll,Karim Abdel Gawad,4,6,NZL,EGY,QF,57,4,11,4,Paul Coll
2020-2021 PSA World Championship,Men's,2021-07-22,Paul Coll,Karim Abdel Gawad,4,6,NZL,EGY,QF,57,5,11,6,Paul Coll
2020-2021 PSA World Championship,Men's,2021-07-22,Mohamed Elshorbagy,Fares Dessouky,2,7,EGY,EGY,QF,56,1,11,6,Mohamed Elshorbagy
2020-2021 PSA World Championship,Men's,2021-07-22,Mohamed Elshorbagy,Fares Dessouky,2,7,EGY,EGY,QF,56,2,11,7,Mohamed Elshorbagy
2020-2021 PSA World Championship,Men's,2021-07-22,Mohamed Elshorbagy,Fares Dessouky,2,7,EGY,EGY,QF,56,3,11,5,Mohamed Elshorbagy
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Miguel Rodriguez,1,10,EGY,COL,3rd,55,1,11,3,Ali Farag
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Miguel Rodriguez,1,10,EGY,COL,3rd,55,2,11,5,Ali Farag
2020-2021 PSA World Championship,Men's,2021-07-22,Ali Farag,Miguel Rodriguez,1,10,EGY,COL,3rd,55,3,11,5,Ali Farag
2020-2021 PSA World Championship,Men's,2021-07-22,Diego Elias,George Parker,8,NA,PER,ENG,3rd,54,1,11,6,Diego Elias
2020-2021 PSA World Championship,Men's,2021-07-22,Diego Elias,George Parker,8,NA,PER,ENG,3rd,54,2,13,11,Diego Elias
2020-2021 PSA World Championship,Men's,2021-07-22,Diego Elias,George Parker,8,NA,PER,ENG,3rd,54,3,11,4,Diego Elias
2020-2021 PSA World Championship,Men's,2021-07-22,Marwan Elshorbagy,Gregoire Marche,5,13,EGY,FRA,3rd,53,1,8,11,Gregoire Marche
2020-2021 PSA World Championship,Men's,2021-07-22,Marwan Elshorbagy,Gregoire Marche,5,13,EGY,FRA,3rd,53,2,11,4,Marwan Elshorbagy
2020-2021 PSA World Championship,Men's,2021-07-22,Marwan Elshorbagy,Gregoire Marche,5,13,EGY,FRA,3rd,53,3,11,3,Marwan Elshorbagy
2020-2021 PSA World Championship,Men's,2021-07-22,Marwan Elshorbagy,Gregoire Marche,5,13,EGY,FRA,3rd,53,4,11,9,Marwan Elshorbagy
2020-2021 PSA World Championship,Men's,2021-07-22,Tarek Momen,Youssef Ibrahim,3,NA,EGY,EGY,3rd,52,1,11,2,Tarek Momen
2020-2021 PSA World Championship,Men's,2021-07-22,Tarek Momen,Youssef Ibrahim,3,NA,EGY,EGY,3rd,52,2,11,9,Tarek Momen
2020-2021 PSA World Championship,Men's,2021-07-22,Tarek Momen,Youssef Ibrahim,3,NA,EGY,EGY,3rd,52,3,11,8,Tarek Momen
2020-2021 PSA World Championship,Men's,2021-07-22,Paul Coll,Saurav Ghosal,4,12,NZL,IND,3rd,51,1,11,3,Paul Coll
2020-2021 PSA World Championship,Men's,2021-07-22,Paul Coll,Saurav Ghosal,4,12,NZL,IND,3rd,51,2,7,11,Saurav Ghosal
2020-2021 PSA World Championship,Men's,2021-07-22,Paul Coll,Saurav Ghosal,4,12,NZL,IND,3rd,51,3,11,5,Paul Coll
2020-2021 PSA World Championship,Men's,2021-07-22,Paul Coll,Saurav Ghosal,4,12,NZL,IND,3rd,51,4,11,5,Paul Coll
2020-2021 PSA World Championship,Men's,2021-07-22,Karim Abdel Gawad,Baptiste Masotti,6,NA,EGY,FRA,3rd,50,1,8,11,Baptiste Masotti
2020-2021 PSA World Championship,Men's,2021-07-22,Karim Abdel Gawad,Baptiste Masotti,6,NA,EGY,FRA,3rd,50,2,11,0,Karim Abdel Gawad
2020-2021 PSA World Championship,Men's,2021-07-22,Karim Abdel Gawad,Baptiste Masotti,6,NA,EGY,FRA,3rd,50,3,11,7,Karim Abdel Gawad
2020-2021 PSA World Championship,Men's,2021-07-22,Karim Abdel Gawad,Baptiste Masotti,6,NA,EGY,FRA,3rd,50,4,11,4,Karim Abdel Gawad
2020-2021 PSA World Championship,Men's,2021-07-22,Fares Dessouky,Mohamed Abouelghar,7,11,EGY,EGY,3rd,49,1,11,6,Fares Dessouky
2020-2021 PSA World Championship,Men's,2021-07-22,Fares Dessouky,Mohamed Abouelghar,7,11,EGY,EGY,3rd,49,2,11,13,Mohamed Abouelghar
2020-2021 PSA World Championship,Men's,2021-07-22,Fares Dessouky,Mohamed Abouelghar,7,11,EGY,EGY,3rd,49,3,11,7,Fares Dessouky
2020-2021 PSA World Championship,Men's,2021-07-22,Fares Dessouky,Mohamed Abouelghar,7,11,EGY,EGY,3rd,49,4,12,10,Fares Dessouky
2020-2021 PSA World Championship,Men's,2021-07-22,Mohamed Elshorbagy,Joel Makin,2,9,EGY,WAL,3rd,48,1,11,4,Mohamed Elshorbagy
2020-2021 PSA World Championship,Men's,2021-07-22,Mohamed Elshorbagy,Joel Makin,2,9,EGY,WAL,3rd,48,2,11,7,Mohamed Elshorbagy
2020-2021 PSA World Championship,Men's,2021-07-22,Mohamed Elshorbagy,Joel Makin,2,9,EGY,WAL,3rd,48,3,11,7,Mohamed Elshorbagy
